fantasy_owner,ipl_team,nickname,full_name,role,is_overseas,official_name,official_player_id,official_player_url,official_stats_feed_url,mapping_source,mapping_notes,playing_xi_tier,availability_modifier,availability_note,overseas_competition_note,availability_source,confidence,career_batting_matches,career_batting_innings,career_batting_not_outs,career_batting_runs,career_batting_high_score,career_batting_average,career_batting_balls_faced,career_batting_strike_rate,career_batting_hundreds,career_batting_fifties,career_batting_fours,career_batting_sixes,career_batting_catches,career_batting_stumpings,career_bowling_matches,career_bowling_innings,career_bowling_balls,career_bowling_runs_conceded,career_bowling_wickets,career_bowling_best_bowling,career_bowling_average,career_bowling_economy,career_bowling_strike_rate,career_bowling_four_wkts,career_bowling_five_wkts,season_2025_batting_matches,season_2025_batting_innings,season_2025_batting_not_outs,season_2025_batting_runs,season_2025_batting_high_score,season_2025_batting_average,season_2025_batting_balls_faced,season_2025_batting_strike_rate,season_2025_batting_hundreds,season_2025_batting_fifties,season_2025_batting_fours,season_2025_batting_sixes,season_2025_batting_catches,season_2025_batting_stumpings,season_2025_bowling_matches,season_2025_bowling_innings,season_2025_bowling_balls,season_2025_bowling_runs_conceded,season_2025_bowling_wickets,season_2025_bowling_best_bowling,season_2025_bowling_average,season_2025_bowling_economy,season_2025_bowling_strike_rate,season_2025_bowling_four_wkts,season_2025_bowling_five_wkts,season_2024_batting_matches,season_2024_batting_innings,season_2024_batting_not_outs,season_2024_batting_runs,season_2024_batting_high_score,season_2024_batting_average,season_2024_batting_balls_faced,season_2024_batting_strike_rate,season_2024_batting_hundreds,season_2024_batting_fifties,season_2024_batting_fours,season_2024_batting_sixes,season_2024_batting_catches,season_2024_batting_stumpings,season_2024_bowling_matches,season_2024_bowling_innings,season_2024_bowling_balls,season_2024_bowling_runs_conceded,season_2024_bowling_wickets,season_2024_bowling_best_bowling,season_2024_bowling_average,season_2024_bowling_economy,season_2024_bowling_strike_rate,season_2024_bowling_four_wkts,season_2024_bowling_five_wkts,stats_source,stats_fetched_at,stats_status
Manan,CSK,Samson,Sanju Samson,WK,False,Sanju Samson,258,https://www.iplt20.com/players/sanju-samson/258,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/258-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,177,172,20,4704,119,30.95,3383,139.05,3,26,379,219,86,17,177,0,0,0,0,,,,,0,0,9,9,1,285,66,35.63,203,140.39,0,1,27,13,4,1,9,,,,,,,,,,,16,15,4,531,86,48.27,346,153.47,0,5,48,24,6,1,16,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/258-playerstats.js,2026-03-23T10:50:54.278476+00:00,ok
Akshit,CSK,Henry,Matt Henry,BOWL,True,Matt Henry,1505,https://www.iplt20.com/players/matt-henry/1505,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1505-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,4,0,0,,,,,,0,0,,,,,2,2,30,71,1,1/31,71.00,14.20,30.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,0,0,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1505-playerstats.js,2026-03-23T10:50:54.304121+00:00,ok
Saurabh,CSK,Dube,Shivam Dube,AR,False,Shivam Dube,5431,https://www.iplt20.com/players/shivam-dube/5431,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5431-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,79,75,14,1859,95*,30.48,1294,143.66,0,10,108,122,23,0,79,15,124,213,5,2/15,42.60,10.31,24.80,0,0,14,14,3,357,50,32.45,270,132.22,0,1,22,21,4,,14,1,12,33,0,0/33,,16.50,,0,0,14,14,3,396,66*,36.00,244,162.30,0,3,28,28,2,,14,1,6,14,1,1/14,14.00,14.00,6.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5431-playerstats.js,2026-03-23T10:50:54.304438+00:00,ok
Vyom,CSK,Noor,Noor Ahmad,BOWL,True,Noor Ahmad,20590,https://www.iplt20.com/players/noor-ahmad/20590,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20590-playerstats.js,registry_exact_team_match,Official stats feed not available for this player ID.,LIKELY,1.0,,,,High,37,13,5,20,7*,2.50,35,57.14,0,0,2,0,9,,37,37,792,1067,48,4/18,22.23,8.08,16.50,2,0,14,6,2,7,2,1.75,17,41.18,0,0,0,0,2,,14,14,300,408,24,4/18,17.00,8.16,12.50,2,0,10,4,2,5,4,2.50,9,55.56,0,0,1,0,5,,10,10,209,290,8,2/20,36.25,8.33,26.13,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20590-playerstats.js,2026-03-23T10:50:54.304642+00:00,ok
Harsh,CSK,Brewis,Dewald Brevis,BAT,True,Dewald Brevis,20593,https://www.iplt20.com/players/dewald-brevis/20593,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20593-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,16,16,0,455,57,28.44,297,153.20,0,2,30,33,10,,16,1,3,8,1,1/8,8.00,16.00,3.00,0,0,6,6,0,225,57,37.50,125,180.00,0,2,13,17,6,,6,,,,,,,,,,,3,3,0,69,46,23.00,59,116.95,0,0,3,5,1,,3,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20593-playerstats.js,2026-03-23T10:50:54.305334+00:00,ok
Dharmik,CSK,Overton,Jamie Overton,AR,True,Jamie Overton,22109,https://www.iplt20.com/players/jamie-overton/22109,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22109-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,3,2,2,15,11*,,7,214.29,0,0,1,1,,,3,3,36,83,0,0/24,,13.83,,0,0,3,2,2,15,11*,,7,214.29,0,0,1,1,,,3,3,36,83,0,0/24,,13.83,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22109-playerstats.js,2026-03-23T10:50:54.306068+00:00,ok
Dharmil,CSK,Ruturaj,Ruturaj Gaikwad,BAT,False,Ruturaj Gaikwad,5443,https://www.iplt20.com/players/ruturaj-gaikwad/5443,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5443-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,71,70,8,2502,108*,40.35,1820,137.47,2,20,231,95,39,0,71,0,0,0,0,,,,,0,0,5,5,0,122,63,24.40,81,150.62,0,2,14,4,3,,5,,,,,,,,,,,14,14,3,583,108*,53.00,413,141.16,1,4,58,18,5,,14,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5443-playerstats.js,2026-03-23T10:50:54.308731+00:00,ok
Manan,CSK,R Chahar,Rahul Chahar,BOWL,False,Rahul Chahar,3763,https://www.iplt20.com/players/rahul-chahar/3763,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3763-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,79,24,8,129,25*,8.06,124,104.03,0,0,13,5,23,0,79,78,1670,2150,75,4/27,28.67,7.72,22.27,1,0,1,0,0,,,,,,0,0,,,,,1,1,6,9,0,0/9,,9.00,,0,0,9,2,1,21,16,21.00,15,140.00,0,0,3,1,3,,9,9,186,279,10,3/23,27.90,9.00,18.60,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3763-playerstats.js,2026-03-23T10:50:54.323650+00:00,ok
Akshit,CSK,Kartik,Kartik Sharma,BOWL,False,Kartik Sharma,23012,https://www.iplt20.com/players/kartik-sharma/23012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23012-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Kartik Sharma'. Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23012-playerstats.js,2026-03-23T10:50:56.136078+00:00,feed_missing
Saurabh,CSK,Khaleel,Khaleel Ahmed,BOWL,False,Khaleel Ahmed,2964,https://www.iplt20.com/players/khaleel-ahmed/2964,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/2964-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,71,6,2,2,1*,0.50,9,22.22,0,0,0,0,5,0,71,71,1556,2328,89,3/21,26.16,8.98,17.48,0,0,14,2,2,1,1*,,2,50.00,0,0,0,0,1,,14,14,280,447,15,3/29,29.80,9.58,18.67,0,0,14,0,0,,,,,,0,0,,,1,,14,14,300,479,17,2/21,28.18,9.58,17.65,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/2964-playerstats.js,2026-03-23T10:50:56.158479+00:00,ok
